,NSC,CID,SMILES,MECHANISM,NAME,nci60,nciSclc,lantnci,gdsc1,gdsc2,gdscDec15,ccle,ctrp
0,1,11122.0,CC1=CC(=O)C=CC1=O,Other,p-Toluquinone,,,,,,,,
1,17,219123.0,CCCCCCCCCCCCCCCC1=C(C=CC(=C1)O)N,Other,4-Amino-3-pentadecylphenol,,,,,,,,
2,89,92844.0,CN(C)CCC(=O)C1=CC=CC=C1.Cl,Other,3-(Dimethylamino)propiophenone hydrochloride,,,,,,,,
3,185,6197.0,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,Other,Cycloheximide,185|758187,,,,,,,
4,295,4775.0,C1=CC=C(C=C1)CCCC(=O)O,Other,4-Phenylbutyric acid,,,,,,,,
5,353,24180741.0,CCN(CC)CCCNC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl,Other,"Chloro-9-[[3-(diethylamino)propyl]amino]-2-methoxyacridine, dihydrate",,,,,,,,
6,384,54599265.0,CCCCCN(CCCCC)CCCNC1=C2CCCCC2=NC3=C1C=C(C=C3)Cl.OP(=O)(O)O,Other,"7-Chloro-9-[[3-(dipentylamino)propyl]amino]-1,3,4-tetrahydroacridine, phosphate (3:2)",,,,,,,,
7,596,219376.0,CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br)[N+](=O)[O-],Other,"2-Bromo-4-methyl-1,3,5-trinitrobenzene",,,,,,,,
8,629,11254.0,C1C(O1)C2CO2,Other,"2,2'-Bioxirane",,,,,,,,
9,721,690109.0,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=S)N,Other,"Hydrazinecarbothioamide, 2-(1,2-dihydro-2-oxo-3H-indol-3-ylidene)-",,,,,,,,
10,739,2154.0,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Other,4-Aminopteroylglutamic acid,757427|739,,,,,,,
11,740,126941.0,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,DNA,Methotrexate,740|757113,740,740,Methotrexate,Methotrexate,Methotrexate,,methotrexate
12,740,126941.0,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,DNA,methotrexate,740|757113,740,740,Methotrexate,Methotrexate,Methotrexate,,methotrexate
13,742,6331826.0,C(C(C(=O)O)N)OC(=O)C=[N+]=N,Other,Diazoacetate(ester) L-serine,,,,,,,,
14,749,135403646.0,C12=NNN=C1N=C(NC2=O)N,Other,8-Azaguanine,,,,,,,,
15,750,2478.0,,,,,750,,,,,,
16,752,2723601.0,C1=NC2=C(N1)C(=S)N=C(N2)N,DNA,Thioguanine,752|757348,752,752|757348,,,,,
17,755,667490.0,C1=NC2=C(N1)C(=S)N=CN2,DNA,Mercaptopurine,755|759614,755,755|759614,,,,,
18,757,6167.0,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,TUBB,Colchicine,757|756702,,,,,,,
19,762,5935.0,CN(CCCl)CCCl.Cl,DNA,Mechlorethamine hydrochloride,762|757087,762,762|757087,,,,,
20,798,5354119.0,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=N2,Other,(E)-3-Phenyl-1-(pyridin-2-yl)prop-2-en-1-one,,,,,,,,
21,830,736782.0,C1=CN=CC=C1C=CC(=O)O,Other,3-(4-Pyridyl)acrylic acid,,,,,,,,
22,885,219490.0,CN(C)C1=C(C=C(C=C1)C(=O)C2=CC(=C(C=C2)N(C)C)N)N,Other,Bis[3-amino-4-(dimethylamino)phenyl]methanone,,,,,,,,
23,1010,219563.0,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)[N+](=O)[O-],Other,8-Hydroxy-7-[a-(4-nitroanilino)benzyl]quinoline,,,,,,,,
24,1011,219564.0,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=C(C=C4)C(=O)O,Other,4-[[(8-Hydroxyquinolin-7-yl)-phenylmethyl]amino]benzoic acid,,,,,,,,
25,1012,95307.0,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=CC=C4C(=O)O,Other,"Anthranilic acid, N-(alpha-(8-hydroxy-7-quinolyl)benzyl)-",,,,,,,,
26,1013,219565.0,C1=CC=C(C=C1)NC(C2=CC=C(C=C2)[N+](=O)[O-])C3=C(C4=C(C=CC=N4)C=C3)O,Other,7-(alpha-Anilino-P-nitrobenzyl)-8-quinolinol,,,,,,,,
27,1014,219566.0,CC1=CC(=NC=C1)NC(C2=CC=CC=C2)C3=C(C4=C(C=CC=N4)C=C3)O,Other,7-[alpha-[(4-Methyl-2-pyridyl)amino]benzyl]-8-quinolinol,,,,,,,,
28,1026,2901.0,C1CCC(C1)(C(=O)O)N,Other,Cycloleucine,,,,,,,,
